"601875088330330112","RT @Sethhoney: Im now capturing 50 fields in an Apache log with some things we never had before like Websphere destination. #elk #Elasticse…","Sat May 23 03:49:38 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"601884873423458304","@KottiCMS and #elasticsearch (experimental) support @elastic #python @pylons http://t.co/ntQopRS2Z1 http://t.co/T8gQI1ts4q","Sat May 23 04:28:30 IST 2015","Davide Moro","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
"601890210570326017","RT @davidemoro: @KottiCMS and #elasticsearch (experimental) support @elastic #python @pylons http://t.co/k976SniiU1 http://t.co/l6cLJ8Os0j","Sat May 23 04:49:43 IST 2015","Pyramid & Pylons","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>"
"601892145797140481","RT @pylons: RT @davidemoro: @KottiCMS and #elasticsearch (experimental) support @elastic #python @pylons http://t.co/k976SniiU1 http://t.co…","Sat May 23 04:57:24 IST 2015","Kotti CMS","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
"601896804008009728","We compared #elasticsearch vs #sphinx - see results: http://t.co/0g1ZhSKV6L","Sat May 23 05:15:55 IST 2015","TechWars","<a href=""http://www.techwars.io"" rel=""nofollow"">TechWars</a>"
"601897892274688001","RT @TechWars_io: We compared #elasticsearch vs #sphinx - see results: http://t.co/0g1ZhSKV6L","Sat May 23 05:20:14 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"601914318221750272","RT @elastic: .@PrediktoIoT gives users realtime sensor data analysis w/ #elasticsearch & #Spark. Here’s how http://t.co/oECqzBWZvh http://t…","Sat May 23 06:25:31 IST 2015","Mario Montag","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"601916201221136384","RT @thirdeyecss_3e: Is #Data your life? Join as Data Engineer! #BigData #jobs #java #etl #mapreduce #elasticsearch #Matlab http://t.co/KzkF…","Sat May 23 06:33:00 IST 2015","embeddedcomputer.nl","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>"
"601930716364939265","'Debugging' Maven tests by throwing exceptions is no fun. Wish I could get jdb to hit breakpoints. cc @elastic #elasticsearch #Java","Sat May 23 07:30:40 IST 2015","Derek Gray","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
"601930729954639873","RT @tuespetre: 'Debugging' Maven tests by throwing exceptions is no fun. Wish I could get jdb to hit breakpoints. cc @elastic #elasticsearc…","Sat May 23 07:30:44 IST 2015","Isuru Buddhika ","<a href=""http://www.mypersonalweb.com"" rel=""nofollow"">isurunix-bot</a>"
